arquivo,titulo,subtitulo,data_publicacao,data_atualizacao,tags,dateline,nome_operacao_encontrado,identidade_canonica,classificacao,crimes_mais_presentes,modus_operandi,fonte_classificacao,confianca_regex
pf-deflagra-operacao-papel-pintado-contra-comercio-de-moeda-falsa-em-alagoas-3cdb3630.md,PF deflagra operação contra comércio de moeda falsa em Alagoas,Mandado de busca é cumprido em Piranhas/AL após interceptação de cédulas falsas remetidas pelos Correios,03/09/2025,,"[""Operação PF"", ""Polícia Federal"", ""Alagoas""]",Maceió/AL,Papel Pintado,crime_falsificacoes,Por crime,"[""falsificacoes""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-deflagra-operacao-para-aprofundar-investigacao-sobre-crime-de-descaminho-2667671a.md,PF deflagra operação para aprofundar investigação sobre crime de descaminho,Prática envolveria comércio ilegal de produtos importados em Alagoas,07/08/2024,,"[""Alagoas"", ""Operação PF""]",Maceió/AL.,Dedo Sujo,crime_contrabando_descaminho,Por crime,"[""contrabando_descaminho""]","[""busca_apreensao"", ""prisao"", ""comercializacao"", ""fronteira_transnacional"", ""desarticulacao_rede""]",regex,0.95
pf-deflagra-operacao-para-apurar-acesso-indevido-de-informacoes-em-sistema-da-cef-ddce42f7.md,PF deflagra operação para apurar acesso indevido de informações em sistema da CEF,Foram cumpridos dois mandados de busca e apreensão,30/06/2025,,"[""Operação PF"", ""Polícia Federal"", ""Mandado de busca e apreensão"", ""São Paulo""]",São Paulo/SP.,Acesso Indevido,crimes_ciberneticos_financeiros,Por crime,"[""crimes_ciberneticos_financeiros""]","[""busca_apreensao""]",regex,0.92
pf-deflagra-operacao-para-apurar-ameacas-de-violencia-contra-universidade-federal-em-santos-9afdb85c.md,PF deflagra operação para apurar ameaças de violência contra universidade federal em Santos,Publicações em redes sociais incitavam ataques à comunidade acadêmica da Unifesp,17/10/2025,,"[""Operação PF"", ""Polícia Federal"", ""São Paulo""]",Santos/SP.,Campus Seguro,crime_ameaca,Por crime,"[""ameaca""]","[""busca_apreensao""]",regex,0.885
pf-deflagra-operacao-para-apurar-atividades-irregulares-de-negociacoes-junto-a-b3-sem-a-devida-autorizacao-da-cvm-8b0f9e66.md,PF apura atividades irregulares de negociações junto ao mercado de capitais sem autorização da CVM,O investigado poderá responder por crimes contra o sistema financeiro nacional,02/06/2025,02/06/2025,"[""Operação PF"", ""Polícia Federal"", ""Ceará""]",Fortaleza/CE.,Trader Sinais,crimes_sistema_financeiro,Por crime,"[""crimes_sistema_financeiro""]",[],regex,0.95
pf-deflagra-operacao-para-apurar-compra-de-votos-em-parauapebas-pa-1a80978b.md,PF deflagra operação para apurar compra de votos em Parauapebas/PA,Mandados de busca e apreensão encontraram dinheiro e cestas básicas com candidatos a prefeito e a vereador,04/10/2024,,"[""PA"", ""Operação PF"", ""Crime eleitoral"", ""mandados judicias"", ""apreensão"", ""Pará""]",Marabá/PA.,Votum Purum,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""lavagem_dinheiro"", ""falsificacoes"", ""crime_eleitoral""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-condutas-criminosas-de-servidores-publicos-6fa00b91.md,PF deflagra operação para apurar condutas criminosas de servidores públicos,Dois policiais federais teriam praticado corrupção passiva e outros crimes,08/12/2023,,"[""Rio de Janeiro"", ""Operação PF"", ""Expurgo"", ""Corrupção"", ""Servidores""]",Rio de Janeiro/RJ.,Expurgo,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""falsificacoes""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-crimes-cometidos-durante-exploracao-de-sal-gema-em-maceio-al-84ab1ee0.md,PF deflagra operação para apurar crimes cometidos durante exploração de sal-gema em Maceió/AL,Aproximadamente 60 policiais federais cumprem 14 mandados judiciais de busca e apreensão,21/12/2023,27/12/2023,"[""Alagoas"", ""Operação PF"", ""Sal-gema"", ""Maceió"", ""Destaque""]",Maceió/AL.,Lagrimas,crimes_ambientais,Por crime,"[""crimes_ambientais""]","[""busca_apreensao"", ""fiscalizacao""]",regex,0.95
pf-deflagra-operacao-para-apurar-crimes-contra-beneficiarios-do-inss-144a474a.md,PF deflagra operação para apurar crimes contra beneficiários do INSS,Operação Doxing decorre de investigação sobre possível acesso indevido a dados de pessoais por instituições financeiras que operam em Santa Maria/RS e Santa Cruz do Sul/RS,05/09/2025,,"[""Operação PF"", ""Santa Cruz do Sul"", ""Rio Grande do Sul""]",Santa Cruz do Sul/RS.,Doxing,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""crimes_ciberneticos_financeiros""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-crimes-de-racismo-e-associacao-criminosa-d01ce2c3.md,PF deflagra operação para apurar crimes de ódio e de associação criminosa,"O investigado é suspeito de veicular, na internet, postagens que disseminam discurso de ódio contra a comunidade LGBTQIA+",10/02/2026,10/02/2026,"[""Operação PF"", ""Rio de Janeiro""]",Rio de Janeiro/RJ.,Recalque,crimes_odio_discriminacao,Por crime,"[""crimes_odio_discriminacao"", ""organizacao_criminosa""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.95
pf-deflagra-operacao-para-apurar-crimes-eleitorais-7a56bf73.md,PF investiga crimes eleitorais em Estrela/RS,Operação Ambitus Sidum cumpre 13 mandados de busca e apreensão nos municípios gaúchos de Estrela e de Cruzeiro do Sul,24/04/2026,24/04/2026,"[""Operação PF"", ""Crimes eleitorais"", ""Rio Grande do Sul""]",Santa Cruz do Sul/RS.,Ambitus Sidum,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""falsificacoes"", ""crime_eleitoral""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-crimes-financeiros-e-lavagem-de-dinheiro-9334dd83.md,PF deflagra operação para apurar crimes financeiros e lavagem de dinheiro,Ação cumpre prisões e mandados de busca contra organização criminosa especializada em fraudes bancárias,09/12/2025,09/12/2025,"[""Operação PF"", ""Polícia Federal"", ""Rio Grande do Norte""]",Natal/RN.,CA,crime_lavagem_dinheiro,Por crime,"[""lavagem_dinheiro"", ""crimes_ciberneticos_financeiros"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""combate_financeiro""]",regex,0.95
pf-deflagra-operacao-para-apurar-desvio-de-recursos-publicos-no-municipio-de-goiatins-to-cd876819.md,PF deflagra operação para apurar desvio de recursos públicos no município de Goiatins/TO,"Operação Reiterates, quinta fase da Operação Bagration, investiga irregularidades em licitações realizadas no Tocantins",30/05/2019,07/11/2022,"[""Operação PF"", ""Destaque"", ""fraudes em licitação"", ""TO""]",Araguaína/TO,Reiterates,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-desvio-de-verbas-publicas-be2920e7.md,PF deflagra operação para apurar desvio de verbas públicas,Ação investiga a existência de esquema de corrupção na execução da obra de urbanização e paisagismo em Macapá/AP,19/09/2024,19/09/2024,"[""Operação PF"", ""Amapá"", ""Fraudes"", ""Desvio de verba pública"", ""Destaque""]",Macapá/AP.,Plattea,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""lavagem_dinheiro"", ""organizacao_criminosa""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-desvios-de-verbas-federais-aced0b42.md,PF deflagra operação para apurar desvios de verbas federais,Foram cumpridos quatro mandados de busca e apreensão,11/04/2023,,"[""Operação PF"", ""São Paulo"", ""Desvio de Recursos""]",Cruzeiro/SP.,,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""falsificacoes""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-esquema-criminoso-de-concessao-de-creditos-bancarios-em-rondonia-f9c1c8ee.md,PF deflagra Operação para apurar esquema criminoso de concessão de créditos bancários em Rondônia,"Foram cumpridos dois mandados de busca e apreensão, além do sequestro de R$ 1,5 milhão, veículos e mídias",08/05/2025,,"[""Polícia Federal"", ""Operação PF"", ""Rondônia""]",Porto Velho/RO,Moeda,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""lavagem_dinheiro""]","[""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
pf-deflagra-operacao-para-apurar-falsidade-documental-4d612bde.md,PF deflagra operação para apurar falsidade documental,Servidor público teria falsificado atestados médicos para justificar faltas ao trabalho,23/02/2024,,"[""Ceará"", ""Operação PF"", ""Documento falso""]",Fortaleza/CE,CID Z76,crime_falsificacoes,Por crime,"[""falsificacoes"", ""crimes_ciberneticos_financeiros""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-financiamento-ilegal-de-campanhas-dos-anos-de-2022-e-2024-no-ce-65d707a9.md,PF deflagra operação para apurar financiamento ilegal de campanhas dos anos de 2022 e 2024 no CE,Policiais cumprem 14 mandados de busca e apreensão,01/11/2024,,"[""Operação PF"", ""Ceará"", ""Crimes eleitorais""]",Fortaleza/CE.,Peixe,crime_lavagem_dinheiro,Por crime,"[""lavagem_dinheiro"", ""crime_eleitoral"", ""organizacao_criminosa""]","[""busca_apreensao"", ""criacao_empresa_fantasma""]",regex,0.95
pf-deflagra-operacao-para-apurar-fraude-contra-a-caixa-economica-federal-db7be2a4.md,PF deflagra operação para apurar fraude contra a Caixa Econômica Federal,"As investigações tiveram início após uma denúncia formal da própria Caixa, que identificou a abertura fraudulenta de contas bancárias em nome de terceiros",05/02/2026,05/02/2026,"[""Operação PF"", ""Polícia Federa"", ""Espírito Santo""]",Vila-Velha/ES.,Fictus,crime_falsificacoes,Por crime,"[""falsificacoes"", ""crimes_ciberneticos_financeiros""]","[""busca_apreensao"", ""resgate_vitimas"", ""desarticulacao_rede"", ""combate_financeiro""]",regex,0.95
pf-deflagra-operacao-para-apurar-fraude-em-licitacao-em-timbiras-ma-32f4e707.md,"PF deflagra operação para apurar fraude em licitação, em Timbiras/MA","Investigação apura direcionamento de certame para fornecimento de material de expediente com recursos federais do Fundeb, do FNS e do FNAS",24/02/2026,24/02/2026,"[""Operação PF"", ""Destaque"", ""Maranhão""]",São Luís/MA.,Pedras Frias,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-fraudes-na-aquisicao-de-canabidiol-31142257.md,PF investiga fraudes na aquisição de canabidiol em Porto Alegre,Operação Espectro apura práticas ilícitas relacionadas à destinação de verbas estatais,31/03/2026,31/03/2026,"[""Rio Grande do Sul"", ""Operação PF"", ""Canabidiol"", ""Fraude processual"", ""Falsificação de documento""]",Porto Alegre/RS.,Espectro,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""falsificacoes""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-homicidio-de-menor-indigena-8418f625.md,PF deflagra operação para apurar homicídio de menor indígena,"Foram expedidos três mandados de prisão preventiva e outros cinco de busca e apreensão, com apoio da Polícia Civil da Bahia para o cumprimento",06/10/2022,06/10/2022,"[""Operação PF"", ""Bahia"", ""Homicídio"", ""Indígena""]",Porto Seguro/BA.,Tupa,crime_homicidio,Por crime,"[""homicidio""]","[""busca_apreensao"", ""prisao"", ""resgate_vitimas""]",regex,0.95
pf-deflagra-operacao-para-apurar-invasao-reiterada-de-terra-indigena-161ebb6b.md,PF deflagra operação para apurar invasão reiterada de terra indígena,Foi cumprido mandado de busca e apreensão em face de investigado que utiliza terra indígena como pastagem para gado,22/05/2025,,"[""Operação PF"", ""Polícia Federal"", ""Maranhão""]",São Luís,Ferrete Incognito,crimes_ambientais,Por crime,"[""crimes_ambientais""]","[""busca_apreensao"", ""suspensao_atividades""]",regex,0.87
pf-deflagra-operacao-para-apurar-irregularidades-em-contratos-de-saude-publica-em-sao-paulo-bd836ca3.md,PF deflagra operação para apurar irregularidades em contratos de saúde pública em São Paulo,"Segunda fase da investigação mira crimes de corrupção, peculato e fraude em licitações",06/11/2025,,"[""Operação PF"", ""Polícia Federal"", ""São Paulo""]",Sorocaba/SP.,Copia,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""lavagem_dinheiro"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""bloqueio_bens""]",regex,0.95
pf-deflagra-operacao-para-apurar-ocorrencia-em-voo-comercial-em-agosto-deste-ano-6c861b8d.md,PF deflagra operação para apurar ocorrência em voo comercial em agosto deste ano,O incidente obrigou a aeronave a realizar pouso de emergência no Aeroporto Internacional de Brasília/DF.,29/11/2025,,"[""Operação PF"", ""ameaça contra a segurança do transporte aéreo"", ""Destaque"", ""Distrito Federal""]",Brasília/DF.,Plano,crime_ameaca,Por crime,"[""ameaca""]","[""busca_apreensao"", ""fiscalizacao"", ""cooperacao_interagencias""]",regex,0.95
pf-deflagra-operacao-para-apurar-os-crimes-de-descaminho-lavagem-de-dinheiro-e-organizacao-criminosa-2ba81254.md,"PF deflagra operação para apurar os crimes de descaminho, de lavagem de dinheiro e de organização criminosa",Ação teve o apoio da Brigada Militar,29/01/2026,03/02/2026,"[""Operação PF"", ""Polícia Federal"", ""Rio Grande do Sul""]",Santa Cruz do Sul/RS.,Arrieros,crime_lavagem_dinheiro,Por crime,"[""lavagem_dinheiro"", ""contrabando_descaminho"", ""organizacao_criminosa""]","[""busca_apreensao"", ""fronteira_transnacional""]",regex,0.95
pf-deflagra-operacao-para-apurar-participacao-de-policiais-civis-em-assassinatos-7976dc03.md,PF deflagra operação para apurar participação de policiais civis em assassinatos,O cumprimento de todas as ordens judiciais pela Polícia Federal foi acompanhado pela Corregedoria da Polícia Civil/TO,31/05/2022,03/02/2023,"[""Operação PF"", ""Polícia Federal"", ""Tocantins"", ""Polícia Civil"", ""Destaque""]",Palmas/TO,Caninana,crime_homicidio,Por crime,"[""homicidio"", ""organizacao_criminosa""]","[""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
pf-deflagra-operacao-para-apurar-trafico-de-animais-ameacados-de-extincao-em-recife-pe-749eb2dc.md,PF deflagra operação para apurar tráfico de animais ameaçados de extinção em Recife/PE,Operação contou com o apoio do Ibama,10/06/2025,,"[""Operação PF"", ""Polícia Federal"", ""Pernambuco""]",Recife/PE.,Furtiva Libertas,crime_falsificacoes,Por crime,"[""falsificacoes""]","[""busca_apreensao"", ""prisao"", ""cooperacao_interagencias"", ""desarticulacao_rede"", ""comercializacao""]",regex,0.94
pf-deflagra-operacao-para-apurar-vantagens-indevidas-junto-a-agencia-reguladora-d8df07da.md,PF deflagra operação para apurar vantagens indevidas junto à agência reguladora,Dois mandados de busca foram cumpridos em Brasília/DF,29/04/2021,25/01/2023,"[""Operação PF"", ""Destaque"", ""Ameaça"", ""Agência reguladora""]",,Amigo,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""ameaca""]","[""busca_apreensao""]",regex,0.95
pf-deflagra-operacao-para-apurar-venda-de-decisoes-judiciais-489477ce.md,PF deflagra operação para apurar venda de decisões judiciais,"Mandados judiciais são cumpridos em Mato Grosso, Pernambuco e no Distrito Federal",26/11/2024,,"[""Distrito Federal"", ""Operação PF"", ""Destaque""]",Brasília/DF.,Sisamnes,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""bloqueio_bens""]",regex,0.95
pf-deflagra-operacao-para-apurar-venda-ilicita-de-portes-de-armas-de-fogo-bada7d78.md,PF deflagra operação para apurar venda ilícita de portes de armas de fogo,Investigação aponta comercialização de porte de armas de fogo falsificados que são de uso exclusivo de militares das forças armadas,15/01/2025,,"[""Operação PF"", ""São Paulo"", ""Campinas""]",Campinas/SP,Tiro Certo,crimes_armas,Por crime,"[""crimes_armas""]","[""busca_apreensao"", ""comercializacao""]",regex,0.878
pf-deflagra-operacao-para-coibir-a-pratica-de-crimes-com-o-objetivo-de-tumultuar-a-lisura-das-eleicoes-em-itaiba-pe-718438dd.md,PF deflagra operação para coibir a prática de crimes com o objetivo de tumultuar a lisura das eleições em Itaíba/PE,Operação Novo Cabresto cumpre nove mandados de busca e apreensão,29/11/2020,07/11/2022,"[""Operação PF"", ""Mandado de busca e apreensão"", ""Eleições 2020""]",,Novo Cabresto,noticia_sem_crime_especifico,Outras,[],"[""busca_apreensao""]",llm,0.7
pf-deflagra-operacao-para-coibir-atividades-ilegais-de-seguranca-privada-b21e97af.md,PF deflagra operação para coibir atividades ilegais de segurança privada,"Durante a ação, policiais federais cumpriram um mandado de busca e apreensão na cidade de Santa Maria/RS, expedido pela Justiça Estadual",26/02/2025,,"[""Rio Grande do Sul"", ""Operação PF""]",Santa Maria/RS.,Vigilancia Clandestina,crimes_armas,Por crime,"[""crimes_armas"", ""seguranca_privada_irregular""]","[""busca_apreensao"", ""fiscalizacao""]",regex,0.93
pf-deflagra-operacao-para-coibir-contrabando-no-interior-paulista-5fe5d7f2.md,PF deflagra Operação para coibir contrabando no interior paulista,"Durante as diligências, três indivíduos foram presos em flagrante",07/12/2022,,"[""Operação PF"", ""Destaque"", ""Contrabando"", ""Descaminho""]",,,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""contrabando_descaminho"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""fronteira_transnacional"", ""comercializacao""]",regex,0.95
pf-deflagra-operacao-para-coibir-crimes-contra-o-sistema-financeiro-a0b00d80.md,PF deflagra operação para coibir crimes contra o sistema financeiro,"Durante a ação, que acontece nas cidades gaúchas de Aceguá e Porto Xavier, foi apreendida a quantia equivalente a R$ 190 mil e uma pessoa foi presa por posse ilegal de arma de fogo",19/12/2023,19/12/2023,"[""Rio Grande do Sul"", ""Operação PF"", ""Destaque""]",São Borja /RS.,Efectivo,crime_lavagem_dinheiro,Por crime,"[""lavagem_dinheiro"", ""contrabando_descaminho"", ""crimes_sistema_financeiro""]","[""busca_apreensao"", ""exames_periciais"", ""prisao"", ""atuacao_online"", ""cooperacao_interagencias""]",regex,0.95
pf-deflagra-operacao-para-coibir-exercicio-ilegal-da-atividade-de-seguranca-32c108b3.md,PF deflagra operação para coibir exercício ilegal da atividade de segurança privada,"Operação Segurança Legal III ocorre simultaneamente em todo o país para coibir o exercício ilegal da atividade de segurança privada, seja por empresas irregulares, seja por pessoas não capacitadas",30/03/2019,07/11/2022,"[""Operação PF"", ""Destaque""]",Brasília/DF -,Seguranca Legal III,crime_seguranca_privada_irregular,Por crime,"[""seguranca_privada_irregular""]",[],regex,0.875
pf-deflagra-operacao-para-coibir-garimpo-ilegal-em-rondonia-67b0d740.md,PF deflagra operação para coibir garimpo ilegal em Rondônia,"A ação que contou com a participação de 79 agentes públicos, e resultou na inutilização de oito dragas usadas para extração de ouro",18/04/2024,18/04/2024,"[""PF"", ""Operação PF"", ""Garimpo ilegal"", ""Ação Integrada"", ""Operação Eldorado"", ""Rondônia""]",Guajará-Mirim/RO.,Eldorado,crimes_ambientais,Por crime,"[""crimes_ambientais""]","[""cooperacao_interagencias"", ""fronteira_transnacional""]",regex,0.95
pf-deflagra-operacao-para-combate-a-crimes-ambientais-507a3dab.md,PF deflagra operação para combate a crimes ambientais,"Ação ocorreu na Terra Indígena Igarapé Lage, na região oeste de Rondônia",07/09/2024,,"[""Rondônia"", ""Operação PF""]",Porto Velho.,Ultimato,crimes_ambientais,Por crime,"[""crimes_ambientais""]","[""cooperacao_interagencias"", ""fiscalizacao""]",regex,0.95
pf-deflagra-operacao-para-combate-a-crimes-ambientais-na-terra-indigena-igarape-lage-b64c68ca.md,PF deflagra operação para combate a crimes ambientais na Terra Indígena Igarapé Lage,"No interior da reserva, foi localizado e apreendido um trator utilizado para extração ilegal de madeira, além de três motosserras",12/06/2024,,"[""Operação PF"", ""Polícia Federal"", ""Rondônia""]",Porto Velho/RO.,Retomada IV,crimes_ambientais,Por crime,"[""crimes_ambientais""]","[""cooperacao_interagencias""]",regex,0.95
pf-deflagra-operacao-para-combate-a-crimes-contra-o-sistema-financeiro-887a9762.md,PF deflagra operação para combate a crimes contra o Sistema Financeiro,Os mandados foram expedidos pela Vara Federal Cível e Criminal da Subseção da Justiça Federal de Floriano/PI,31/05/2022,03/02/2023,"[""Operação PF"", ""Polícia Federal"", ""Crimes Financeiros"", ""Piauí"", ""Destaque""]",Teresina/PI.,Alavancada,crime_lavagem_dinheiro,Por crime,"[""lavagem_dinheiro"", ""crimes_sistema_financeiro"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""criacao_empresa_fantasma"", ""resgate_vitimas"", ""desarticulacao_rede""]",regex,0.95
pf-deflagra-operacao-para-combate-a-crimes-na-terra-indigena-igarape-laje-7605aa70.md,PF deflagra operação para combate a crimes na Terra Indígena Igarapé Laje,"Foram verificadas a divisão e a demarcação da área em cerca de 100 lotes, em prática de grilagem de terras",29/05/2024,,"[""Rondônia"", ""Operação PF"", ""Destaque""]",Porto Velho/RO.,Retomada II,crimes_ambientais,Por crime,"[""crimes_ambientais""]","[""cooperacao_interagencias"", ""fiscalizacao""]",regex,0.95
pf-deflagra-operacao-para-combate-a-fabricacao-e-comercializacao-de-substancias-anabolizantes-bd7b54d7.md,PF deflagra operação para combate à fabricação e comercialização de substâncias anabolizantes,"A investigação teve início em 2021, após a descoberta de um laboratório clandestino de anabolizantes na cidade de Piúma, ocasião em que duas pessoas foram presas",23/10/2024,,"[""Espírito Santo"", ""Operação PF""]",Cachoeiro de Itapemirim/ES,Ciclagem,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""comercializacao_medicamentos_nao_autorizados"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""fronteira_transnacional"", ""desarticulacao_rede"", ""comercializacao""]",regex,0.95
pf-deflagra-operacao-para-combate-a-fraudes-contra-a-previdencia-social-3abbcac7.md,PF deflagra operação para combate a fraudes contra a Previdência Social,Operação Forja evita prejuízo de R$ 10 milhões ao INSS,26/08/2025,,"[""Goiás"", ""Operação PF""]",Goiânia/GO.,Forja,crime_fraude_previdenciaria,Por crime,"[""fraude_previdenciaria""]","[""busca_apreensao"", ""cumprimento_mandado""]",llm,0.7
pf-deflagra-operacao-para-combate-a-migracao-ilegal-para-paises-europeus-ed2eba6d.md,PF deflagra operação para combate à migração ilegal para países europeus,Foram cumpridos dois mandados de busca no Espírito Santo,13/09/2024,,"[""Espírito Santo"", ""Operação PF""]",Vitória/ES.,,crime_exploracao_pessoas,Por crime,"[""exploracao_pessoas"", ""organizacao_criminosa""]","[""busca_apreensao""]",regex,0.93
pf-deflagra-operacao-para-combate-ao-crime-de-moeda-falsa-9dffbae0.md,PF deflagra operação para combate ao crime de moeda falsa,"Mandado de busca e apreensão foi cumprido em Cariacica/ES, na residência de um dos principais distribuidores de cédulas falsas identificados no Espírito Santo",25/07/2024,,"[""Espírito Santo"", ""Operação PF"", ""Destaque""]",Vitória/ES.,Mico Leao,crime_falsificacoes,Por crime,"[""falsificacoes""]","[""busca_apreensao"", ""prisao""]",regex,0.95
pf-deflagra-operacao-para-combate-ao-crime-de-pornografia-infantil-527f78c0.md,PF deflagra operação para combate ao crime de pornografia infantil,"Na ação, um homem foi preso em flagrante",22/06/2023,,"[""Operação PF"", ""Acre"", ""Pornografia Infantil""]",Rio Branco/AC.,Isis,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""prisao""]",regex,0.95
pf-deflagra-operacao-para-combate-ao-recebimento-indevido-de-beneficios-de-seguro-desemprego-25699ee0.md,PF deflagra operação para combate ao recebimento indevido de benefícios de seguro-desemprego,O prejuízo estimado à União é de R$ 830 mil,29/11/2022,,"[""Operação PF"", ""Estelionato"", ""Seguro-desemprego""]",,HEMERA,crimes_ciberneticos_financeiros,Por crime,"[""crimes_ciberneticos_financeiros"", ""organizacao_criminosa""]","[""busca_apreensao"", ""criacao_empresa_fantasma""]",regex,0.95
pf-deflagra-operacao-para-combate-crimes-de-contrabando-e-lavagem-de-dinheiro-a1adcfa9.md,PF deflagra operação para combate crimes de contrabando e lavagem de dinheiro,São cumpridos nove mandados de busca e apreensão,26/03/2024,,"[""Santa Catarina"", ""Operação PF"", ""Contrabando"", ""Cigarros""]",Chapecó/SC,Cigarro,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""lavagem_dinheiro"", ""contrabando_descaminho"", ""organizacao_criminosa""]","[""busca_apreensao"", ""cooperacao_interagencias""]",regex,0.95
pf-deflagra-operacao-para-combater-a-comercializacao-ilegal-de-ouro-028babe0.md,PF deflagra operação para combater a comercialização ilegal de ouro,Mineral seria extraído de garimpo ilegal na Terra Indígena Sararé,28/02/2023,,"[""Operação PF"", ""Extração Ilegal"", ""Ouro"", ""Terra Indígena"", ""MT""]",Pontos e Lacerda/MT.,Rainha,crimes_ambientais,Por crime,"[""crimes_ambientais"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""fiscalizacao"", ""comercializacao""]",regex,0.95
pf-deflagra-operacao-para-combater-a-extracao-ilegal-de-recursos-minerais-em-rondonia-31585791.md,PF deflagra operação para combater a extração ilegal de recursos minerais em Rondônia,As investigações tiveram início a partir de fiscalização realizada pela Agência Nacional de Mineração (ANM),24/06/2025,,"[""Operação PF"", ""Polícia Federal"", ""Extração ilegal"", ""Recursos minerais"", ""Rondônia""]",Vilhena/RO.,Harena,crimes_ambientais,Por crime,"[""crimes_ambientais""]","[""busca_apreensao"", ""fiscalizacao"", ""cooperacao_interagencias""]",regex,0.95
pf-deflagra-operacao-para-combater-a-lavagem-de-capitais-e-a-sonegacao-fiscal-em-go-sp-e-no-df-880728ca.md,"PF deflagra operação para combater a lavagem de capitais e a sonegação fiscal em GO, SP e no DF",São cumpridos 15 mandados de busca e apreensão,07/08/2024,,"[""Operação PF"", ""Distrito Federal"", ""Lavagem de capitais"", ""Sonegação fiscal""]",Brasília/DF.,Remoras,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""lavagem_dinheiro"", ""fraude_fiscal""]","[""busca_apreensao"", ""bloqueio_bens"", ""combate_financeiro""]",regex,0.95
pf-deflagra-operacao-para-combater-a-pratica-de-front-running-no-mercado-financeiro-59acef43.md,PF deflagra operação para combater a prática de Front Running no mercado financeiro,Justiça determinou o sequestro de bens e valores de mais de R$ 5 milhões do grupo criminoso,07/08/2024,,"[""Operação PF"", ""Rio de Janeiro"", ""Front Running"", ""Lavagem de dinheiro""]",Rio de Janeiro /RJ.,Rabbit,crime_lavagem_dinheiro,Por crime,"[""lavagem_dinheiro"", ""crimes_sistema_financeiro"", ""uso_indevido_informacao_privilegiada"", ""organizacao_criminosa""]","[""busca_apreensao"", ""bloqueio_bens""]",regex,0.95
pf-deflagra-operacao-para-combater-abuso-infantojuvenil-ab544c81.md,PF deflagra operação para combater abuso infantojuvenil,Mandado de busca e apreensão foi cumprido no norte do Estado de Goiás,30/04/2025,,"[""Polícia Federal"", ""Operação PF"", ""Goiás""]",Goiânia/GO,,crimes_ciberneticos_financeiros,Por crime,"[""crimes_ciberneticos_financeiros""]","[""busca_apreensao"", ""atuacao_online""]",regex,0.9
pf-deflagra-operacao-para-combater-abuso-infantojuvenil-praticado-na-internet-em-goias-4a79f7fe.md,PF deflagra operação para combater abuso infantojuvenil praticado na internet em Goiás,Foram cumpridos 2 mandados de busca e apreensão em Rio Verde/GO.,16/04/2025,,"[""Polícia Federal"", ""Operação PF"", ""Goiás""]",Jataí/GO,Infancia Blindada,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""atuacao_online"", ""busca_apreensao""]",llm,0.0
